Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,2019 form,2015 form
++,BT-712,Buyer Review Complainants,Number,No,"The number of organisations that requested the buyer to review any of its decisions (e.g. the technical specifications, award decision).",O,new term overall,,33,21
+++,BT-635,Buyer Review Requests Count,Number,No,The number of requests the buyer received to review any of its decisions.,O,new term overall,,33,21
+++,BT-636,Buyer Review Requests Irregularity Type,Code,No,The type of irregularity alleged in the review requests.,O,new term overall,,33,21
++,BT-13715,Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,33,21
++,BT-634,Procurement Relaunch,Indicator,No,This cancelled or unsuccessful procedure or lot will be relaunched.,O,new term overall,,33,21
++,BT-756,PIN Competition Termination,Indicator,No,"The prior information notice used as a call for competition (or a specific lot) is terminated. No further contracts, besides those published in this notice, will be awarded following this prior information notice used as a call for competition. This field can be used even if no contracts are awarded in the contract award notice.",O,IV.2.9.1,The contracting authority will not award any further contracts based on the above prior information notice,33,21
++,BT-300,Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,33,21
++,BT-195,Unpublished Identifier,Identifier,No,"Identifier of the field that shall not be immediately published. Only fields concerning the Result value and groups of fields concerning the Tender and Procedure Lot Result can be unpublished. In the case of the sectoral Directive, the award criteria, the procurement procedure, certain dates and in certain cases information about the nature and quantity of a service can be unpublished as well.",O,new term overall,,33,21
++,BT-197,Unpublished Justification Code,Code,No,The justification for not immediately publishing a field.,O,new term overall,,33,21
++,BT-196,Unpublished Justification Description,Text,No,The justification for not immediately publishing a field and for the choice of a later date at which it can be published.,O,new term overall,,33,21
++,BT-198,Unpublished Accessibility Date,Date,No,The later date at which the originally unpublished field shall be published.,O,new term overall,,33,21
++,BT-701,Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,5,22
++,BT-757,Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,5,22
++,BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,5,22
++,BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,5,22
++,BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,5,22
++,BT-05,Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),5,22
++,BT-738,Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,5,22
++,BT-702,Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,5,22
++,BT-1371,Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,5,22
++,BT-125,Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,5,22
++,BT-1251,Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,5,22
++,BT-13720,Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,5,22
++,BT-500,Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name,5,22
++,BT-501,Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number,5,22
++,BT-16,Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,5,22
++,BT-510,Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,5,22
++,BT-513,Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,5,22
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,5,22
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,5,22
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,5,22
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,5,22
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,5,22
++,BT-503,Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,5,22
++,BT-739,Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,5,22
++,BT-505,Organisation Internet Address,URL,No,The website of the organisation.,EM,I.1.12.1,Main address,5,22
++,BT-509,Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,5,22
++,BT-633,Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,5,22
++,BT-08,Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,5,22
++,BT-770,Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,5,22
+++,BT-508,Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,I.1.12.2,Address of the buyer profile,5,22
+++,BT-11,Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,new term,,5,22
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,CM,I.5,Main activity,5,22
+++,BT-610,Activity Entity,Code,No,The main activity of the contracting entity.,M,new term overall,,5,22
++,BT-137,Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,5,22
++,BT-22,Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,5,22
++,BT-23,Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract,5,22
++,BT-531,Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,5,22
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,5,22
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,5,22
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,5,22
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,5,22
++,BT-27,Estimated Value,Value,No,"The estimated maximum value of the procurement procedure or lot. Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement or a dynamic purchasing system, over their whole duration, including options and renewals.",O,II.1.5.1,Value excluding VAT,5,22
+++,BT-557,Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,5,22
+++,BT-157,Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,5,22
+++,BT-26,Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,5,22
+++,BT-262,Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,5,22
+++,BT-263,Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,5,22
++,BT-1372,Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,5,22
++,BT-5101,Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,5,22
++,BT-5131,Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,5,22
++,BT-5121,Place Performance Post Code,Text,No,The postcode of the place of performance.,O,II.2.3.2,Main site or place of performance,5,22
++,BT-5071,Place Performance Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS). The NUTS3 classification code must be used.,CM,II.2.3.1,NUTS code,5,22
++,BT-5141,Place Performance Country Code,Code,No,The country of the place of performance.,CM,II.2.3.2,Main site or place of performance,5,22
++,BT-727,Place Performance Services Other,Code,No,"There are other restrictions on the place of performance (e.g. ""anywhere in the European Economic Area"", ""anywhere in the given country""). ",CM,new term overall,,5,22
++,BT-728,Place Performance Additional Information,Text,No,Additional information about the place of performance.,O,II.2.3.2,Main site or place of performance,5,22
++,BT-1373,Duration Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the duration section refers to this lot (or part) or these lots (or parts)",CM,new term,,5,22
++,BT-536,Duration Start Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will start.",O,new term,,5,22
++,BT-36,Duration Period,Duration,No,"The (estimated) period from the start to the end of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals.",O,new term,,5,22
++,BT-537,Duration End Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will finish.",O,new term,,5,22
++,BT-538,Duration Other,Code,No,"The duration is unknown, unlimited, etc.",O,new term,,5,22
++,BT-1379,Requirements Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the other requirements section refer this lot (or part) or these lots (or parts).",CM,new term overall,,5,22
++,BT-71,Reserved Participation,Code,Yes,"Whether participation is reserved for specific organisations (e.g. sheltered workshops, organisations pursuing a public service mission).",O,new term,,5,22
++,BT-13717,Terms Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the contract terms section refer this lot (or part) or these lots (or parts).",CM,new term overall,,5,22
++,BT-736,Reserved Execution,Code,No,Whether the execution of the contract must be performed in the framework of sheltered employment programmes.,O,new term,,5,22
++,BT-13711,Techniques Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the techniques section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,5,22
++,BT-765,Framework Agreement,Code,No,"Whether a framework agreement with, without, or with and without the reopening of competition is involved.",O,new term,,5,22
++,BT-13712,Communication Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the communication section refers to this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,5,22
++,BT-632,Tool Name,Text,No,The name of the electronic tool or device used for electronic communication.,O,new term overall,,5,22
++,BT-724,Tool Atypical,Indicator,No,Electronic communication requires the use of tools and devices that are not generally available.,O,new term overall,,5,22
++,BT-124,Tool Atypical URL,URL,Yes,Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.,O,I.3.5,"Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at: (URL)",5,22
++,BT-127,Future Notice,Date,No,The estimated date of publication of a contract notice within this procedure.,O,II.3,Estimated date of publication of contract notice,5,22
++,BT-13718,Documents Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the procurement documents section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,5,22
++,BT-15,Documents URL,URL,No,"The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.",O,I.3.1,"The procurement documents are available for unrestricted and full direct access, free of charge, at: (URL)",5,22
++,BT-708,Documents Official Language,Code,Yes,The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.,O,new term overall,,5,22
++,BT-737,Documents Unofficial Language,Code,Yes,"The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.",O,new term overall,,5,22
++,BT-14,Documents Restricted,Indicator,No,The access to certain procurement documents is restricted.,O,new term,,5,22
++,BT-707,Documents Restricted Justification,Code,No,The justification for restricting access to certain procurement documents.,O,new term overall,,5,22
++,BT-615,Documents Restricted URL,URL,No,The internet address with information on accessing the restricted (part of the) procurement documents.,O,I.3.2,Access to the procurement documents is restricted. Further information can be obtained at (URL),5,22
++,BT-13,Additional Information Deadline,Date,No,The time limit for requesting additional information about the procurement procedure.,O,new term,,5,22
++,BT-13715,Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,5,22
++,BT-726,Suitable For SMEs,Indicator,No,The buyer emphasizes that this procurement is also suitable for small and medium enterprises (SMEs).,O,new term overall,,5,22
++,BT-115,GPA Coverage,Indicator,No,The procurement is covered by the Government Procurement Agreement (GPA).,CM,new term,,5,22
++,BT-300,Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,5,22
++,BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,13,22
++,BT-701,Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,13,22
++,BT-757,Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,13,22
++,BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,13,22
++,BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,13,22
++,BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,13,22
++,BT-05,Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),13,22
++,BT-738,Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,13,22
++,BT-702,Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,13,22
++,BT-1371,Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,13,22
++,BT-125,Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,IV.2.1,Previous publication concerning this procedure,13,22
++,BT-1251,Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,13,22
++,BT-13720,Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,13,22
++,BT-500,Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name,13,22
++,BT-501,Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number,13,22
++,BT-16,Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,13,22
++,BT-510,Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,13,22
++,BT-513,Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,13,22
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,13,22
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,13,22
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,13,22
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,13,22
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,13,22
++,BT-503,Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,13,22
++,BT-739,Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,13,22
++,BT-505,Organisation Internet Address,URL,No,The website of the organisation.,EM,I.1.12.1,Main address,13,22
++,BT-509,Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,13,22
++,BT-633,Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,13,22
++,BT-08,Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,13,22
++,BT-770,Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,13,22
+++,BT-508,Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,I.1.12.2,Address of the buyer profile,13,22
+++,BT-11,Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",O,new term,,13,22
+++,BT-10,Activity Authority,Code,No,The main activity of the contracting authority.,O,I.5,Main activity,13,22
+++,BT-610,Activity Entity,Code,No,The main activity of the contracting entity.,O,new term overall,,13,22
++,BT-137,Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,13,22
++,BT-22,Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,13,22
++,BT-23,Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract,13,22
++,BT-531,Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,13,22
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,13,22
++,BT-21,Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,13,22
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,13,22
++,BT-24,Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,13,22
++,BT-27,Estimated Value,Value,No,"The estimated maximum value of the procurement procedure or lot. Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement or a dynamic purchasing system, over their whole duration, including options and renewals.",O,II.2.6.1,Value excluding VAT,13,22
+++,BT-557,Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,13,22
+++,BT-157,Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,13,22
+++,BT-26,Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,13,22
+++,BT-262,Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,13,22
+++,BT-263,Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,13,22
++,BT-25,Quantity,Number,No,The number of units required.,O,new term,,13,22
++,BT-625,Unit,Code,No,"The unit which the good, service, or work comes in, for example hours or kilograms. Where CPV code is a supply which does not need a further unit (e.g. cars), then no unit needs to be given and quantity is taken to be a count, e.g. the ""number of cars"". ",O,new term overall,,13,22
++,BT-53,Options,Indicator,No,The buyer reserves the right (not an obligation) for additional purchases from the contractor (while the contract is valid).,O,new term,,13,22
++,BT-54,Options Description,Text,No,The description of the options.,O,new term,,13,22
++,BT-1372,Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,13,22
++,BT-5101,Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,13,22
++,BT-5131,Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,13,22
++,BT-5121,Place Performance Post Code,Text,No,The postcode of the place of performance.,O,II.2.3.2,Main site or place of performance,13,22
++,BT-5071,Place Performance Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS). The NUTS3 classification code must be used.,CM,II.2.3.1,NUTS code,13,22
++,BT-5141,Place Performance Country Code,Code,No,The country of the place of performance.,CM,II.2.3.2,Main site or place of performance,13,22
++,BT-727,Place Performance Services Other,Code,No,"There are other restrictions on the place of performance (e.g. ""anywhere in the European Economic Area"", ""anywhere in the given country""). ",CM,new term overall,,13,22
++,BT-728,Place Performance Additional Information,Text,No,Additional information about the place of performance.,O,II.2.3.2,Main site or place of performance,13,22
++,BT-1373,Duration Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the duration section refers to this lot (or part) or these lots (or parts)",CM,II.2.1.1,Lot no,13,22
++,BT-536,Duration Start Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will start.",O,II.2.7.2,Start,13,22
++,BT-36,Duration Period,Duration,No,"The (estimated) period from the start to the end of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals.",O,II.2.7.1,Duration (months or days),13,22
++,BT-537,Duration End Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will finish.",O,II.2.7.3,End,13,22
++,BT-538,Duration Other,Code,No,"The duration is unknown, unlimited, etc.",O,new term,,13,22
++,BT-58,Renewal Maximum,Number,No,"The maximum number of times the contract can be renewed. By renewing, the buyer reserves the right (i.e. not an obligation) to renew the contract (i.e. extend its duration) without a new procurement procedure. For example, a contract may be valid for one year and the buyer may keep a possibility to renew it (e.g. once, twice) for another three months, if he is content with the services he received.",O,new term,,13,22
++,BT-57,Renewal Description,Text,No,Any other information about the renewal(s).,O,new term,,13,22
++,BT-1374,Funds Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the EU funds section refers to this lot or these lots.,CM,II.2.1.1,Lot no,13,22
++,BT-60,EU Funds,Indicator,No,The procurement is at least partially financed by European Union funds such as the European Structural and Investment Funds or grants awarded by the European Union.,O,II.2.13.1,The procurement is related to a project and/or programme financed by European Union funds,13,22
++,BT-09,Cross Border Law,Text,No,The applicable law when buyers from different countries procure together within one procurement procedure.,O,I.2.1.1,"In the case of joint procurement involving different countries, state applicable national procurement law:",13,22
++,BT-105,Procedure Type,Code,No,The type of procurement procedure (e.g. according to the types given in the procurement Directives).,O,IV.1.1,Form of procedure,13,22
++,BT-88,Procedure Features,Text,No,"The main features of the procedure (e.g. description of the individual stage(s)) and information about where the full rules for the procedure can be found. This information must be given when the procedure is not one of those mentioned in the procurement Directives. This can be the case for example for concessions, for social and other specific services, and in case of voluntary publication of procurement procedures below the EU procurement thresholds.",M,IV.1.10,Identification of the national rules applicable to the procedure,13,22
++,BT-88,Procedure Features,Text,No,"The main features of the procedure (e.g. description of the individual stage(s)) and information about where the full rules for the procedure can be found. This information must be given when the procedure is not one of those mentioned in the procurement Directives. This can be the case for example for concessions, for social and other specific services, and in case of voluntary publication of procurement procedures below the EU procurement thresholds.",M,IV.1.11,Main features of the award procedure,13,22
++,BT-31,Lots Max Allowed,Number,No,The maximum number of lots for which one tenderer can submit tenders.,O,IV.1.1.1.1,Accelerated procedure Justification:,13,22
++,BT-31,Lots Max Allowed,Number,No,The maximum number of lots for which one tenderer can submit tenders.,O,IV.1.1.2.1,Accelerated procedure Justification:,13,22
