Label,Set,Comment,EN,FR,DE,BG,CS,DA,EL,ES,ET,FI,GA,HR,HU,IT,LT,LV,MT,NL,PL,PT,RO,SK,SL,SV,bb,cc,dd
origin_community,,,Community origin,Origine communautaire,Europäische Union,Произход от Общността,Původ ve Společenství,Oprindelse i EU,Προέλευση από την Ευρωπαϊκή Ένωση,Origen comunitario,Ühendusesisene päritolu,Yhteisöalkuperä,Tionscnamh san Aontas,Podrijetlo iz Zajednice,Európai Unió,Origine comunitaria,Kilmės šalis yra Bendrijoje,Kopienas izcelsme,Oriġini Komunitarja,Lidstaat van de EU,Pochodzenie wspólnotowe,Origem comunitária,Origine comunitară,Pôvod v Spoločenstve,S poreklom iz Skupnosti,Ursprung inom gemenskapen,,,
origin_noncommunity,,,Non-community origin,Origine non communautaire,Drittstaat,Произход извън Общността,Původ mimo Společenství,Oprindelse i tredjelande,Μη ενωσιακή προέλευση,Origen no comunitario,Ühenduseväline päritolu,Muu kuin yhteisöalkuperä,Tionscnamh taobh amuigh den Aontas,Podrijetlo izvan Zajednice,Nem Európai Unió,Origine extra-comunitaria,Kilmės šalis yra ne Bendrijoje,Ārpuskopienas izcelsme,Oriġini mhux Komunitarja,Land buiten de EU,Pochodzenie pozawspólnotowe,Origem não-comunitária,Origine necomunitară,Pôvod mimo Spoločenstva,S poreklom izven Skupnosti,Ursprung utom gemenskapen,,,
other_activity,,,Other activity,Autre activité,Andere Tätigkeit,Друга дейност,Jiné činnosti,Anden aktivitet,Άλλες δραστηριότητες,Otra actividad,Muu tegevusala,Muu toimiala,Gníomhaíocht eile,Druga djelatnost,Egyéb tevékenység,Altre attività,Kita veikla,Cita darbība,Attivitajiet oħra,Andere activiteit,Inna działalność,Outra atividade,Altă activitate,Iná činnosť,Druga dejavnost,Annan verksamhet,,,
other_conditions,,,Contract performance conditions,Conditions particulières d'exécution,Bedingungen für die Ausführung des Auftrags,Условия за изпълнение на поръчката,Podmínky realizace zakázky,Kontraktudførelsesvilkår,Όροι εκτέλεσης της σύμβασης,Condiciones de ejecución del contrato,Lepingu täitmise tingimused,Sopimuksen toteuttamista koskevat ehdot,Coinníollacha maidir le feidhmiú an chonartha,Uvjeti izvršenja ugovora,A szerződés teljesítésével kapcsolatos feltételek,Condizioni di esecuzione del contratto d'appalto,Sutarties vykdymo sąlygos,Līguma izpildes nosacījumi,Kundizzjonijiet għat-twettiq tal-kuntratt,Voorwaarden inzake de uitvoering van de opdracht,Warunki realizacji umowy,Condições de execução do contrato,Condiţii de executare a contractului,Podmienky vykonania zákazky,Pogoji za izvedbo javnega naročila,Villkor för fullgörande av kontrakt,,,
other_means,,,Other means,Autres,Sonstige,Друго,Jinak,Andet,Άλλα μέσα,Otros medios,Muud viisid,Muu,Modhanna eile,Druga sredstva,Egyéb mód,Altri sistemi,Kita,citus līdzekļus,Mezzi oħra,een ander kanaal,Inne środki,Outros meios,Alte mijloace,Iný spôsob,Drugo,Andra medel,,,
other_particular_cond,MOVE,,Other particular conditions,Autres conditions particulières,Sonstige besondere Bedingungen,Други специфични условия,Další zvláštní podmínky,Andre særlige vilkår,Άλλοι ειδικοί όροι,Otras condiciones particulares,Muud eritingimused,Muut erityisehdot,Coinníollacha sonracha eile,Ostali posebni uvjeti,Egyéb különleges feltételek,Altre condizioni particolari,Kitos specifinės sąlygos,Citi konkrēti nosacījumi,Kundizzjonijiet partikolari oħrajn,Andere bijzondere voorwaarden,Inne szczególne warunki,Outras condições especiais,Alte condiții speciale,Ďalšie osobitné podmienky,Drugi posebni pogoji,Andra särskilda villkor,,,
other_type,,,Other type,Autre type,Andere,Друг тип,Jiný druh,Anden type,Άλλο είδος,Otro tipo,Muu liik,Muu tyyppi,Cineál eile,Druga vrsta,Egyéb típus,Altro tipo,Kitas tipas,Cits veids,Tip ieħor,Ander type,Inny rodzaj,Outro tipo,Alt tip,Iný druh,Druga vrsta,Annan typ,,,
parameters_cost,MOVE,,Cost parameters for compensation payments,Paramètres de coût pour compensations,Kostenparameter für Ausgleichszahlungen,Ценови параметри за компенсационните плащания,Parametry nákladů pro splátky kompenzace,Omkostningsparametre for kompensationsbetalinger,Παράμετροι κόστους για πληρωμές αποζημιώσεων,Parámetros de coste para el pago de compensaciones,Hüvitise maksumuse näitajad,Korvausten kustannusperusteet,Paraiméadair costais le haghaidh íocaíochtaí cúitimh,Troškovni parametri za plaćanja naknade,Az ellentételezés költségparaméterei,Parametri di costo per le compensazioni,Kompensacinėms išmokoms taikomi išlaidų parametrai,Izmaksu parametri attiecībā uz kompensāciju maksājumiem,Il-parametri tal-ispejjeż biex isiru l-ħlasijiet ta' kumpens,Parameters voor kosten voor compensaties,Parametry kosztów w celu obliczenia rekompensaty,Parâmetros de custo para compensações,Parametri de cost pentru plata compensaţiilor,Nákladové parametre pre platby úhrady,Stroškovni parametri za nadomestila,Kostnadsparametrar för betalningar av kompensation,,,
participation_rules,,,Objective rules and criteria for participation,Règles et critères objectifs de participation,Objektive Teilnahmeregeln und -kriterien,Обективни правила и критерии за участие,Objektivní pravidla a kritéria účasti,Objektive regler og kriterier for deltagelse,Αντικειμενικοί κανόνες και κριτήρια συμμετοχής,Normas y criterios objetivos de participación,Objektiivsed osalemiseeskirjad ja -kriteeriumid,Objektiiviset säännöt ja perusteet osallistumiselle,Rialacha agus critéir oibiachtúla le haghaidh rannpháirtíochta,Objektivna pravila i kriteriji za sudjelovanje,A részvételre vonatkozó objektív szabályok és kritériumok,Norme e criteri oggettivi di partecipazione,Objektyvios taisyklės ir dalyvavimo kriterijai,Dalības objektīvie noteikumi un kritēriji,Regoli u kriterji oġġettivi għall-parteċipazzjoni,Objectieve regels en criteria voor deelname,Obiektywne zasady i kryteria udziału,Regras e critérios objetivos para participação,Reguli şi criterii obiective de participare,Objektívne pravidlá a kritériá účasti,Objektivna pravila in merila za sodelovanje,Objektiva regler och kriterier för deltagande,,,
particular_prof_reserved_particip,,,Participation is reserved to a particular profession,La participation est réservée à une profession particulière,Die Teilnahme ist einem bestimmten Berufsstand vorbehalten,Участието е ограничено до определена професия,Účast je vyhrazena určité profesi,Deltagelse er forbeholdt en bestemt profession,Η συμμετοχή περιορίζεται σε συγκεκριμένη επαγγελματική κατηγορία,La participación está reservada a una profesión concreta,Osaleda võivad ainult teatava kutseala esindajad,Osallistuminen on varattu tietylle ammattikunnalle,Tá rannpháirtíocht forchoimeádta do ghairm ar leith,Sudjelovanje je rezervirano za određenu struku,A részvétel egy meghatározott szakmához (képzettséghez) van kötve,La partecipazione è riservata ad una particolare professione,Dalyvauti gali tik tam tikros profesijos asmenys,Piedalīties var tikai konkrētās profesijas pārstāvji,Il-parteċipazzjoni hija riżervata għal professjoni partikolari,Deelneming is aan een bepaalde beroepsgroep voorbehouden,Udział jest zastrzeżony dla przedstawicieli danego zawodu,Participação reservada a uma profissão específica,Participarea este rezervată unei anumite profesii,Účasť je vyhradená pre konkrétnu profesiu,Udeležba je omejena na določeno stroko,Deltagande förbehålls en viss yrkesgrupp,,,
particular_profession_info,,,Information about a particular profession,Information relative à la profession,Angaben zu einem besonderen Berufsstand,Информация относно определена професия,Informace o vyhrazení určité profesi,Oplysninger om en bestemt profession,Πληροφορίες σχετικά με συγκεκριμένη επαγγελματική κατηγορία,Información sobre una profesión concreta,Teave teatava kutseala kohta,Tietoa yksittäisestä ammattikunnasta,Faisnéis faoi ghairm ar leith,Podaci o određenoj struci,Meghatározott szakmára (képzettségre) vonatkozó információk,Informazioni relative ad una particolare professione,Informacija apie tam tikrą profesiją,Informācija par konkrēto profesiju,Informazzjoni dwar professjoni partikolari,Inlichtingen over een bepaalde beroepsgroep,Informacje dotyczące określonego zawodu,Informação sobre uma profissão específica,Informații privind o anumită profesie,Informácie o konkrétnej profesii,Informacije o določeni stroki,Information om en viss yrkesgrupp,,,
particular_profession_reserved,,,Execution of the service is reserved to a particular profession,La prestation est réservée à une profession déterminée,Die Erbringung der Dienstleistung ist einem besonderen Berufsstand vorbehalten,Изпълнението на поръчката е ограничено до определена професия,Poskytování dané služby je vyhrazeno určité profesi,Udførelse af tjenesteydelsen er forbeholdt en bestemt profession,Η εκτέλεση της υπηρεσίας προορίζεται για συγκεκριμένη επαγγελματική κατηγορία,La prestación del servicio se reserva a una profesión concreta,Teenust võivad osutada ainult teatava kutseala esindajad,Palvelun suorittaminen on varattu tietylle ammattikunnalle,Tá comhlíonadh na seirbhíse forchoimeádta do ghairm ar leith,Izvršenje usluge rezervirano je za određenu struku,A szolgáltatás teljesítése egy meghatározott szakmához (képzettséghez) van kötve,La prestazione del servizio è riservata ad una particolare professione,Paslaugą gali teikti tik tam tikros profesijos asmenys,Pakalpojuma izpilde tiks nodota tikai konkrētās profesijas pārstāvjiem,L-eżekuzzjoni tas-servizz hija riżervata għal professjoni partikolari,Het verrichten van de dienst is aan een bepaalde beroepsgroep voorbehouden,Świadczenie usługi zastrzeżone jest dla określonego zawodu,A execução dos serviços está reservada a uma profissão específica,Prestarea serviciilor în cauză este rezervată unei anumite profesii,Poskytovanie služby je vyhradené pre konkrétnu profesiu,Izvedba storitve je omejena na določeno stroko,Utförandet av tjänsten är förbehållet en bestämd yrkesgrupp,,,
pin_as_call_no_contracts,,,The contracting authority will not award any further contracts based on the above prior information notice,Le pouvoir adjudicateur n'attribuera aucun autre marché sur la base de l'avis de préinformation ci-dessus,Der öffentliche Auftraggeber vergibt keine weiteren Aufträge auf der Grundlage der vorstehenden Vorinformation,Възлагащият орган няма да възлага повече поръчки въз основа на горепосоченото обявление за предварителна информация,Veřejný zadavatel nebude zadávat žádné další zakázky na základě výše uvedeného předběžného oznámení,Den ordregivende myndighed vil ikke tildele yderligere kontrakter på baggrund af forhåndsmeddelelsen ovenfor,Η αναθέτουσα αρχή δεν θα αναθέσει καμία περαιτέρω σύμβαση βάσει της ανωτέρω προκαταρκτικής προκήρυξης,El poder adjudicador no adjudicará ningún otro contrato basado en el anterior anuncio de información previa,Hankija ei sõlmi eespool nimetatud eelteate alusel enam lepinguid,Hankintaviranomainen ei tee uusia sopimuksia edellä olevan ennakkoilmoituksen perusteella,Ní dhámhfaidh an t-údarás conarthachta aon chonarthaí breise bunaithe ar an bhfógra faisnéise roimh ré thuas,Javni naručitelj neće dodijeliti daljnje ugovore na temelju prethodno navedene prethodne informacijske obavijesti,Az ajánlatkérő a fenti előzetes tájékoztató alapján nem ítél oda további szerződéseket ,L'amministrazione aggiudicatrice non aggiudicherà altri contratti d'appalto sulla base dell'avviso di preinformazione sopraindicato,Perkančioji organizacija neskirs kitų sutarčių remdamasi minėtu išankstiniu informaciniu skelbimu,"Līgumslēdzēja iestāde vairs nepiešķirs citus līgumus, pamatojoties uz iepriekš norādīto iepriekšējo informatīvo paziņojumu",L-awtorità kontraenti mhux se tagħti aktar kuntratti bbażati fuq l-avviż t'hawn fuq b'informazzjoni minn qabel,De aanbestedende dienst zal geen andere opdrachten gunnen op basis van de voornoemde vooraankondiging,Instytucja zamawiająca nie udzieli dalszych zamówień na podstawie powyższego wstępnego ogłoszenia informacyjnego,A autoridade adjudicante não irá adjudicar mais contratos com base no anúncio de pré-informação supra,Autoritatea contractantă nu va atribui niciun alt contract pe baza anunţului de intenţie de mai sus,Verejný obstarávateľ nezadá žiadne ďalšie zákazky na základe vyššie uvedeného predbežného oznámenia,Javni naročnik ne bo oddal nadaljnjih javnih naročil na podlagi zgornjega predhodnega informativnega obvestila,Den upphandlande myndigheten kommer inte att tilldela några ytterligare kontrakt utifrån ovanstående förhandsmeddelande,,,
pin_as_call_no_contracts_ce,,,The contracting entity will not award any further contracts based on the above periodic indicative notice,L’entité adjudicatrice n'attribuera aucun autre marché sur la base de l'avis périodique indicatif ci-dessus,Der Auftraggeber vergibt keine weiteren Aufträge auf der Grundlage der vorstehenden regelmäßigen nichtverbindlichen Bekanntmachung,Възложителят няма да възлага повече поръчки въз основа на горепосоченото периодично индикативно обявление,Zadavatel nebude zadávat žádné další zakázky na základě výše uvedeného pravidelného předběžného oznámení,Den ordregivende enhed vil ikke tildele yderligere kontrakter på baggrund af den nævnte vejledende periodiske bekendtgørelse,Ο αναθέτων φορέας δεν θα αναθέσει καμία περαιτέρω σύμβαση βάσει της ανωτέρω περιοδικής ενδεικτικής προκήρυξης,La entidad adjudicadora no adjudicará ningún otro contrato basado en el anterior anuncio periódico indicativo,Hankija ei sõlmi eespool nimetatud perioodilise eelteate alusel enam lepinguid,Hankintayksikkö ei tee uusia sopimuksia edellä olevan ohjeellisen kausi-ilmoituksen perusteella,Ní dhámhfaidh an t-údarás conarthachta aon chonarthaí breise bunaithe ar an bhfógra táscach tréimhsiúil thuas,Naručitelj neće dodijeliti daljnje ugovore na temelju prethodno navedene periodične indikativne obavijesti,Az ajánlatkérő a fenti időszakos előzetes tájékoztató alapján nem ítél oda további szerződéseket ,L'ente aggiudicatore non aggiudicherà ulteriori appalti sulla base del summenzionato avviso periodico indicativo,Perkantysis subjektas neskirs kitų sutarčių pagal minėtą reguliarų orientacinį skelbimą ,"Līgumslēdzēja iestāde vairs nepiešķirs citus līgumus, pamatojoties uz iepriekš norādīto iepriekšējo periodisko informatīvo paziņojumu",L-entità kontraenti mhux se tagħti aktar kuntratti fuq il-bażi tal-avviż indikattiv perjodiku ta' hawn fuq,De aanbestedende instantie zal geen andere opdrachten gunnen op basis van de voornoemde periodieke indicatieve vooraankondiging,Podmiot zamawiający nie udzieli dalszych zamówień na podstawie powyższego okresowego ogłoszenia informacyjnego,A entidade adjudicante não irá adjudicar mais contratos com base no anúncio periódico indicativo supra,Entitatea contractantă nu va atribui niciun alt contract pe baza anunţului orientativ periodic menționat mai sus,Obstarávateľ nezadá žiadne ďalšie zákazky na základe vyššie uvedeného pravidelného informatívneho oznámenia,Naročnik ne bo oddal nobenih nadaljnjih javnih naročil na podlagi zgornjega periodičnega informativnega obvestila,Den upphandlande enheten kommer inte att tilldela några ytterligare kontrakt utifrån ovanstående periodiska meddelande,,,
place_performance,,,Place of performance,Lieu d'exécution,Erfüllungsort,Място на изпълнение,Místo plnění,Udførelsessted,Τόπος εκτέλεσης,Lugar de ejecución,Täitmise koht,Suorituspaikka,Láthair feidhmíochta,Mjesto izvršenja,A teljesítés helye,Luogo di esecuzione,Įgyvendinimo vieta,Izpildes vieta,Il-post tat-twettiq,Plaats van uitvoering,Miejsce świadczenia usług,Local de execução,Locul de executare,Miesto vykonania,Kraj izvedbe,Plats för utförande,,,
price,,,Price,Prix,Preis,Цена,Cena,Pris,Τιμή,Precio,Hind,Hinta,Praghas,Cijena,Ár,Prezzo,Kaina,Cena,Prezz,Prijs,Cena,Preço,Prețul,Cena,Cena,Pris,,,
price_bargain,,,Price paid for bargain purchases,Prix payé pour les achats d'opportunité,Für Gelegenheitskäufe gezahlter Preis,Платена цена за покупки при благоприятни условия ,Cena zaplacená za výhodné koupě,"Pris, der er betalt for lejlighedskøb",Αντίτιμο που καταβλήθηκε για αγορές ευκαιρίας,Precio pagado por las compras de ocasión,Soodusostude eest makstud hind,"Hinta, joka on maksettu poikkeuksellisen edullisista hankinnoista",Praghas íoctha ar shladcheannacháin,Cijena plaćena u okviru prigodne kupnje,Előnyös vásárlások esetén fizetett ár,Prezzo pagato per gli acquisti di opportunità,"Sumokėta kaina, kai perkama ypač gera kaina","Cena, kas samaksāta attiecībā uz pirkumiem par pazeminātu cenu",Prezz imħallas għal xiri bi prezz innegozjat,Prijs die is betaald voor gelegenheidsaankopen,Kwota zapłacona za zakupy po okazyjnej cenie,Preço pago pelas aquisições de oportunidade,Prețul plătit pentru achiziții de oportunitate,Cena vyplatená za výhodné nákupy,Plačana cena za ugodne nakupe,Erlagt pris vid förmånliga inköp,,,
prize_will_awarded,,,A prize/prizes will be awarded,Une ou des prime(s) sera/seront attribuée(s),Es werden ein oder mehrere Preise vergeben,Ще се връчва/т награда/награди,Bude udělena soutěžní cena či ceny,Der vil blive uddelt en eller flere præmier,Θα απονεμηθεί(-ούν) βραβείο(-α),Se concederán premios,Ette on nähtud auhind/auhinnad,Palkinto/palkintoja jaetaan,Dámhfar duais/duaiseanna,Bit će dodijeljena(-e) nagrada(-e),Sor kerül díj/díjak odaítélésére,Attribuzione di premi,Bus skiriamas (-i) prizas (-ai),Tiks piešķirta(-as) godalga(-as),Ser jingħata(w) premju/premjiijiet,Een prijs/prijzen wordt/worden toegekend,Zostaną przyznane nagrody,Será(ão) atribuído(s) um prémio/prémios,Se vor acorda unul sau mai multe premii,Bude udelené ocenenie/ocenenia,Podeljene bodo nagrade,Pris(er) kommer att delas ut,,,
procedure,,,Procedure,Procédure,Verfahren,Процедура,Řízení,Procedure,Διαδικασία,Procedimiento,Hankemenetlus,Menettely,Nós imeachta,Postupak,Eljárás,Procedura,Procedūra,Procedūra,Proċedura,Procedure,Procedura,Procedimento,Procedură,Postup,Postopek,Förfarande,,,
proctype_accelerated,,,Accelerated procedure,Procédure accélérée,Beschleunigtes Verfahren,Ускорена процедура,Zkrácené řízení,Hasteprocedure,Επισπευσμένη διαδικασία,Procedimiento acelerado,Kiirendatud menetlus,Nopeutettu menettely,Nós imeachta luathaithe,Ubrzani postupak,Gyorsított eljárás,Procedura accelerata,Pagreitinta procedūra,Paātrināta procedūra,Proċedura mgħaġġla,Versnelde procedure,Procedura przyspieszona,Procedimento acelerado,Procedură accelerată,Zrýchlené konanie,Pospešeni postopek,Påskyndat förfarande,,,
proctype_comp_dialogue,,,Competitive dialogue,Dialogue compétitif,Wettbewerblicher Dialog,Състезателен диалог,Soutěžní dialog,Konkurrencepræget dialog,Ανταγωνιστικός διάλογος,Diálogo competitivo,Võistlev dialoog,kilpailullisessa neuvottelumenettelyssä,Caidreamh iomaíoch,Natjecateljski dijalog,Versenypárbeszéd,Dialogo competitivo,Konkurencinis dialogas,Konkursa dialogs,Djalogu kompetittiv,Concurrentiegerichte dialoog,Dialog konkurencyjny,Diálogo concorrencial,Dialog competitiv,Súťažný dialóg,Konkurenčni dialog,Konkurrenspräglad dialog,,,
proctype_comp_negotiation,,,Competitive procedure with negotiation,Procédure concurrentielle avec négociation,Verhandlungsverfahren,Състезателна процедура с договаряне,Jednací řízení s uveřejněním,Udbud med forhandling,Ανταγωνιστική διαδικασία με διαπραγμάτευση,Procedimiento de licitación con negociación,Konkurentsipõhine läbirääkimistega menetlus,Tarjousperusteinen neuvottelumenettely,Nós imeachta iomaíoch lena mbaineann idirbheartaíocht,Natjecateljski postupak uz pregovore,Tárgyalásos eljárás,Procedura competitiva con negoziazione,Konkurso procedūra su derybomis,Konkursa procedūra ar sarunām,Proċedura kompetittiva bin-negozjazzjoni,Mededingingsprocedure met onderhandeling,Procedura konkurencyjna z negocjacjami,Procedimento concorrencial com negociação,Procedură competitivă cu negociere,Súťažné konanie s rokovaním,Konkurenčni postopek s pogajanji,Förhandlade förfaranden under konkurrens,,,
proctype_competitive,MOVE,,Competitive tendering procedure,Procédure d’appel d'offres compétitive,Wettbewerbliches Ausschreibungsverfahren,Конкурентна тръжна процедура,Soutěžní nabídkové řízení,Konkurrencepræget udbudsprocedure,Ανταγωνιστική διαδικασία διαγωνισμού,Procedimiento de licitación pública,Konkurentsipõhine pakkumismenetlus,Tarjouskilpailu,Nós imeachta tairisceana iomaíoch,Konkurentni postupak nadmetanja,Versenypályázati eljárás,Procedura di gara,Konkurencinė konkurso procedūra,Konkursa procedūra,Proċedura ta' sejħa għall-offerti kompetittiva,Mededingingsprocedure,Procedura przetargowa,Processo de concurso competitivo,Procedură de licitație competitivă,Postup verejného obstarávania,Konkurenčni razpisni postopek,Konkurrenskraftigt upphandlingsförfarande,,,
proctype_concession_wo_pub,,,Award of a concession without prior publication of a concession notice,Attribution d'une concession sans publication préalable d'un avis de concession,Vergabe einer Konzession ohne vorherige Veröffentlichung einer Konzessionsbekanntmachung,Възлагане на концесия без предварително публикуване на обявление за концесия,Udělení koncese bez předchozího zveřejnění oznámení o zahájení koncesního řízení,Tildeling af koncession uden forudgående offentliggørelse af en koncessionsbekendtgørelse,Ανάθεση σύμβασης παραχώρησης χωρίς προηγούμενη δημοσίευση προκήρυξης σύμβασης παραχώρησης,Adjudicación de una concesión sin publicación previa de un anuncio de concesión,Kontsessiooni andmine kontsessiooniteate eelneva avaldamiseta,"Käyttöoikeussopimuksen tekeminen ilman ennakkoon julkaistua, käyttöoikeussopimusta koskevaa ilmoitusta",Dámhachtain lamháltais gan fógra lamháltais a fhoilsiú roimh ré,Dodjela koncesije bez prethodne objave obavijesti o koncesiji,Koncesszió odaítélése koncessziós hirdetmény előzetes közzététele nélkül,Aggiudicazione di una concessione senza previa pubblicazione di un bando di concessione,Koncesijos suteikimas be išankstinio koncesijos skelbimo,Koncesijas piešķiršana bez paziņojuma par koncesiju iepriekšējas publicēšanas,Għoti ta' konċessjoni mingħajr pubblikazzjoni minn qabel ta' avviż ta' konċessjoni,Gunning van een concessieovereenkomst zonder voorafgaande bekendmaking van een concessieaankondiging,Udzielenie koncesji bez uprzedniej publikacji ogłoszenia o koncesji,Adjudicação de uma concessão sem publicação prévia de um anúncio de concessão,Atribuirea unei concesiuni fără publicarea prealabilă a unui anunţ de concesionare,Pridelenie koncesie bez predchádzajúceho zverejnenia oznámenia o koncesii,Podelitev koncesije brez predhodne objave obvestila o koncesiji,Tilldelning av en koncession utan föregående offentliggörande av ett koncessionsmeddelande,,,
proctype_innovation,,,Innovation partnership,Partenariat d'innovation,Innovationspartnerschaft,Партньорство за иновации,Inovační partnerství,Innovationspartnerskab,Σύμπραξη καινοτομίας,Asociación para la innovación,Innovatsioonipartnerlus,Innovaatiokumppanuus,Rannpháirtíocht nuála,Partnerstvo za inovacije,Innovációs partnerség,Partenariato per l'innovazione,Inovacijų partnerystė,Inovācijas partnerība,Sħubija għall-innovazzjoni,Innovatiepartnerschap,Partnerstwo innowacyjne,Parceria para a inovação,Parteneriat pentru inovare,Inovatívne partnerstvo,Partnerstvo za inovacije,Innovationspartnerskap,,,
proctype_negot_w_call,,,Negotiated procedure with prior call for competition,Procédure négociée avec appel à la concurrence préalable,Verhandlungsverfahren mit vorherigem Aufruf zum Wettbewerb,Процедура на договаряне с предварителна покана за участие в състезателна процедура,Jednací řízení s předchozí výzvou k účasti v soutěži,Forhandlingsprocedure med forudgående indkaldelse af tilbud,Διαδικασία με διαπραγμάτευση με προηγούμενη δημοσίευση προκήρυξης,Procedimiento negociado con convocatoria de licitación previa,Väljakuulutamisega läbirääkimistega hankemenetlus,"Neuvottelumenettely, josta julkaistaan ennakkoon tarjouskilpailukutsu",Nós imeachta idirbheartaithe le glao roimh ré ar iomaíocht,Pregovarački postupak s prethodnim pozivom na nadmetanje,Felhívással induló tárgyalásos eljárás ,Procedura negoziata con previo avviso di indizione di gara,Derybos su išankstiniu kvietimu dalyvauti konkurse,Sarunu procedūra ar iepriekšēju iepirkuma izsludināšanu,Proċedura nnegozjata b’sejħa minn qabel għall-kompetizzjoni,Onderhandelingsprocedure met voorafgaande oproep tot mededinging,Procedura negocjacyjna z uprzednim zaproszeniem do ubiegania się o zamówienie,Procedimento por negociação com abertura prévia de um concurso,Procedură negociată cu invitaţie prealabilă la o procedură concurenţială de ofertare,Rokovacie konanie s predchádzajúcou výzvou na súťaž,Postopek s pogajanji s predhodnim javnim razpisom,Förhandlat förfarande med föregående meddelande om upphandling,,,
proctype_negotiated_wo_call,,,Negotiated procedure without prior call for competition,Procédure négociée sans appel à la concurrence préalable,Verhandlungsverfahren ohne vorherigen Aufruf zum Wettbewerb,Процедура на договаряне без предварителна покана за участие в състезателна процедура,Jednací řízení bez předchozí výzvy k účasti v soutěži,Udbud med forhandling uden forudgående indkaldelse af tilbud,Διαδικασία με διαπραγμάτευση χωρίς προηγούμενη προκήρυξη διαγωνισμού,Procedimiento negociado sin convocatoria de licitación previa,Väljakuulutamiseta läbirääkimistega hankemenetlus,"Neuvottelumenettely, josta ei julkaista tarjouskilpailukutsua",Nós imeachta idirbheartaithe gan glao roimh ré ar iomaíocht,Pregovarački postupak bez prethodnog poziva na nadmetanje,Előzetes versenyfelhívás nélküli tárgyalásos eljárás,Procedura negoziata senza previo avviso di indizione di gara,Derybos be išankstinio kvietimo dalyvauti konkurse,Sarunu procedūra bez iepriekšējas iepirkuma izsludināšanas,Proċedura nnegozjata mingħajr sejħa minn qabel għall-kompetizzjoni,Onderhandelingsprocedure zonder voorafgaande oproep tot mededinging,Procedura negocjacyjna bez uprzedniego zaproszenia do ubiegania się o zamówienie,Procedimento por negociação sem abertura prévia de concurso,Procedură negociată fără o invitaţie prealabilă la o procedură concurenţială de ofertare,Rokovacie konanie bez predchádzajúcej výzvy na súťaž,Postopek s pogajanji brez predhodnega javnega razpisa,Förhandlat förfarande utan föregående anbudsinfordran,,,
proctype_negotiated_wo_notice,,,Negotiated procedure without publication of a contract notice,Procédure négociée sans publication d'un avis de marché,Verhandlungsverfahren ohne Veröffentlichung einer Auftragsbekanntmachung,Процедура на договаряне без публикуване на обявление за поръчка ,Jednací řízení bez zveřejnění oznámení o zahájení zadávacího řízení,Udbud med forhandling uden offentliggørelse af en udbudsbekendtgørelse,Διαδικασία με διαπραγμάτευση χωρίς δημοσίευση προκήρυξης σύμβασης,Procedimiento negociado sin publicación de un anuncio de licitación,Väljakuulutamiseta läbirääkimistega hankemenetlus,"Neuvottelumenettely, josta ei julkaista hankintailmoitusta",Nós imeachta idirbheartaithe gan fógra conartha a fhoilsiú,Pregovarački postupak bez objave obavijesti o nadmetanju,Ajánlati/részvételi felhívás közzététele nélküli tárgyalásos eljárás,Procedura negoziata senza pubblicazione di un bando di gara,Derybos be skelbimo apie pirkimą,Sarunu procedūra bez paziņojuma par līgumu publicēšanas,Proċedura nnegozjata mingħajr pubblikazzjoni ta' avviż ta' kuntratt,Onderhandelingsprocedure zonder bekendmaking van een aankondiging van een opdracht,Procedura negocjacyjna bez publikacji ogłoszenia o zamówieniu,Procedimento por negociação sem publicação de um anúncio de concurso,Procedură negociată fără publicarea unui anunţ de participare,Rokovacie konanie bez zverejnenia oznámenia o vyhlásení verejného obstarávania,Postopek s pogajanji brez objave obvestila o javnem naročilu,Förhandlat förfarande utan offentliggörande av meddelande om upphandling,,,
proctype_negotiated_wo_pub,,,Negotiated procedure without prior publication,Procédure négociée sans publication préalable,Verhandlungsverfahren ohne vorherige Bekanntmachung,Процедура на договаряне без предварително обявление,Jednací řízení bez předchozího zveřejnění,Udbud med forhandling uden forudgående offentliggørelse,Διαδικασία με διαπραγμάτευση χωρίς προηγούμενη δημοσίευση,Procedimiento negociado sin publicación previa,Väljakuulutamiseta läbirääkimistega hankemenetlus,"Neuvottelumenettely, josta ei julkaista ilmoitusta",Nós imeachta idirbheartaithe gan fhoilsiú roimh ré,Pregovarački postupak bez prethodne objave,Előzetes közzététel nélküli tárgyalásos eljárás,Procedura negoziata senza previa pubblicazione,Derybos be išankstinio skelbimo,Sarunu procedūra bez iepriekšējas publicēšanas,Proċedura nnegozjata mingħajr pubblikazzjoni minn qabel,Onderhandelingsprocedure zonder voorafgaande bekendmaking,Procedura negocjacyjna bez uprzedniej publikacji,Procedimento por negociação sem publicação prévia,Procedură negociată fără publicare prealabilă,Rokovacie konanie bez predbežného zverejnenia,Postopek s pogajanji brez predhodne objave,Förhandlat förfarande utan föregående offentliggörande,,,
